Date;Total;Incomming;InArea
2019-03-31T03:00:00;16123;1824;5528
2019-03-31T04:00:00;12996;1262;4190
2019-03-31T05:00:00;12184;1781;3017
2019-03-31T06:00:00;12582;3054;2305
2019-03-31T07:00:00;14981;3239;2569
2019-03-31T08:00:00;24100;5589;4185
2019-03-31T09:00:00;42226;11238;7903
2019-03-31T10:00:00;56142;14053;11598
2019-03-31T11:00:00;65179;15797;15199
2019-03-31T12:00:00;73615;17881;18022
2019-03-31T13:00:00;84000;20992;21349
2019-03-31T14:00:00;90264;22500;23907
2019-03-31T15:00:00;95618;23572;24915
2019-03-31T16:00:00;98898;22738;25346
2019-03-31T17:00:00;97780;21484;23545
2019-03-31T18:00:00;83092;17634;20612
2019-03-31T19:00:00;66934;14180;16488
2019-03-31T20:00:00;53795;11558;11652
2019-03-31T21:00:00;42069;9314;8761
2019-03-31T22:00:00;31793;7376;6211
2019-03-31T23:00:00;15033;3914;3857
