0,1,2,3,4,5,6,7,8
"{'tileId': 43345193, 'score': 169, 'time': '2019-03-25T10:00'}","{'tileId': 43354504, 'score': 161, 'time': '2019-03-25T10:00'}","{'tileId': 43354505, 'score': 162, 'time': '2019-03-25T10:00'}","{'tileId': 43363816, 'score': 189, 'time': '2019-03-25T10:00'}","{'tileId': 43363817, 'score': 133, 'time': '2019-03-25T10:00'}","{'tileId': 43363818, 'score': 124, 'time': '2019-03-25T10:00'}","{'tileId': 43373130, 'score': 120, 'time': '2019-03-25T10:00'}","{'tileId': 43373131, 'score': 97, 'time': '2019-03-25T10:00'}","{'tileId': 43382445, 'score': 88, 'time': '2019-03-25T10:00'}"
"{'tileId': 43345193, 'score': 167, 'time': '2019-03-25T11:00'}","{'tileId': 43354504, 'score': 159, 'time': '2019-03-25T11:00'}","{'tileId': 43354505, 'score': 159, 'time': '2019-03-25T11:00'}","{'tileId': 43363816, 'score': 189, 'time': '2019-03-25T11:00'}","{'tileId': 43363817, 'score': 130, 'time': '2019-03-25T11:00'}","{'tileId': 43363818, 'score': 126, 'time': '2019-03-25T11:00'}","{'tileId': 43373130, 'score': 118, 'time': '2019-03-25T11:00'}","{'tileId': 43373131, 'score': 91, 'time': '2019-03-25T11:00'}","{'tileId': 43382445, 'score': 84, 'time': '2019-03-25T11:00'}"
"{'tileId': 43345193, 'score': 174, 'time': '2019-03-25T12:00'}","{'tileId': 43354504, 'score': 164, 'time': '2019-03-25T12:00'}","{'tileId': 43354505, 'score': 160, 'time': '2019-03-25T12:00'}","{'tileId': 43363816, 'score': 187, 'time': '2019-03-25T12:00'}","{'tileId': 43363817, 'score': 130, 'time': '2019-03-25T12:00'}","{'tileId': 43363818, 'score': 127, 'time': '2019-03-25T12:00'}","{'tileId': 43373130, 'score': 114, 'time': '2019-03-25T12:00'}","{'tileId': 43373131, 'score': 90, 'time': '2019-03-25T12:00'}","{'tileId': 43382445, 'score': 80, 'time': '2019-03-25T12:00'}"
"{'tileId': 43345193, 'score': 176, 'time': '2019-03-25T13:00'}","{'tileId': 43354504, 'score': 170, 'time': '2019-03-25T13:00'}","{'tileId': 43354505, 'score': 160, 'time': '2019-03-25T13:00'}","{'tileId': 43363816, 'score': 199, 'time': '2019-03-25T13:00'}","{'tileId': 43363817, 'score': 138, 'time': '2019-03-25T13:00'}","{'tileId': 43363818, 'score': 124, 'time': '2019-03-25T13:00'}","{'tileId': 43373130, 'score': 125, 'time': '2019-03-25T13:00'}","{'tileId': 43373131, 'score': 96, 'time': '2019-03-25T13:00'}","{'tileId': 43382445, 'score': 86, 'time': '2019-03-25T13:00'}"
"{'tileId': 43345193, 'score': 177, 'time': '2019-03-25T14:00'}","{'tileId': 43354504, 'score': 169, 'time': '2019-03-25T14:00'}","{'tileId': 43354505, 'score': 162, 'time': '2019-03-25T14:00'}","{'tileId': 43363816, 'score': 199, 'time': '2019-03-25T14:00'}","{'tileId': 43363817, 'score': 142, 'time': '2019-03-25T14:00'}","{'tileId': 43363818, 'score': 123, 'time': '2019-03-25T14:00'}","{'tileId': 43373130, 'score': 128, 'time': '2019-03-25T14:00'}","{'tileId': 43373131, 'score': 98, 'time': '2019-03-25T14:00'}","{'tileId': 43382445, 'score': 88, 'time': '2019-03-25T14:00'}"
"{'tileId': 43345193, 'score': 174, 'time': '2019-03-25T15:00'}","{'tileId': 43354504, 'score': 166, 'time': '2019-03-25T15:00'}","{'tileId': 43354505, 'score': 158, 'time': '2019-03-25T15:00'}","{'tileId': 43363816, 'score': 195, 'time': '2019-03-25T15:00'}","{'tileId': 43363817, 'score': 136, 'time': '2019-03-25T15:00'}","{'tileId': 43363818, 'score': 123, 'time': '2019-03-25T15:00'}","{'tileId': 43373130, 'score': 125, 'time': '2019-03-25T15:00'}","{'tileId': 43373131, 'score': 96, 'time': '2019-03-25T15:00'}","{'tileId': 43382445, 'score': 84, 'time': '2019-03-25T15:00'}"
"{'tileId': 43345193, 'score': 170, 'time': '2019-03-25T16:00'}","{'tileId': 43354504, 'score': 158, 'time': '2019-03-25T16:00'}","{'tileId': 43354505, 'score': 153, 'time': '2019-03-25T16:00'}","{'tileId': 43363816, 'score': 180, 'time': '2019-03-25T16:00'}","{'tileId': 43363817, 'score': 123, 'time': '2019-03-25T16:00'}","{'tileId': 43363818, 'score': 118, 'time': '2019-03-25T16:00'}","{'tileId': 43373130, 'score': 110, 'time': '2019-03-25T16:00'}","{'tileId': 43373131, 'score': 86, 'time': '2019-03-25T16:00'}","{'tileId': 43382445, 'score': 74, 'time': '2019-03-25T16:00'}"
"{'tileId': 43345193, 'score': 164, 'time': '2019-03-25T17:00'}","{'tileId': 43354504, 'score': 138, 'time': '2019-03-25T17:00'}","{'tileId': 43354505, 'score': 145, 'time': '2019-03-25T17:00'}","{'tileId': 43363816, 'score': 140, 'time': '2019-03-25T17:00'}","{'tileId': 43363817, 'score': 105, 'time': '2019-03-25T17:00'}","{'tileId': 43363818, 'score': 110, 'time': '2019-03-25T17:00'}","{'tileId': 43373130, 'score': 85, 'time': '2019-03-25T17:00'}","{'tileId': 43373131, 'score': 75, 'time': '2019-03-25T17:00'}","{'tileId': 43382445, 'score': 59, 'time': '2019-03-25T17:00'}"
"{'tileId': 43345193, 'score': 162, 'time': '2019-03-25T18:00'}","{'tileId': 43354504, 'score': 128, 'time': '2019-03-25T18:00'}","{'tileId': 43354505, 'score': 143, 'time': '2019-03-25T18:00'}","{'tileId': 43363816, 'score': 112, 'time': '2019-03-25T18:00'}","{'tileId': 43363817, 'score': 90, 'time': '2019-03-25T18:00'}","{'tileId': 43363818, 'score': 104, 'time': '2019-03-25T18:00'}","{'tileId': 43373130, 'score': 66, 'time': '2019-03-25T18:00'}","{'tileId': 43373131, 'score': 69, 'time': '2019-03-25T18:00'}","{'tileId': 43382445, 'score': 52, 'time': '2019-03-25T18:00'}"
"{'tileId': 43345193, 'score': 172, 'time': '2019-03-25T19:00'}","{'tileId': 43354504, 'score': 129, 'time': '2019-03-25T19:00'}","{'tileId': 43354505, 'score': 153, 'time': '2019-03-25T19:00'}","{'tileId': 43363816, 'score': 102, 'time': '2019-03-25T19:00'}","{'tileId': 43363817, 'score': 89, 'time': '2019-03-25T19:00'}","{'tileId': 43363818, 'score': 110, 'time': '2019-03-25T19:00'}","{'tileId': 43373130, 'score': 61, 'time': '2019-03-25T19:00'}","{'tileId': 43373131, 'score': 69, 'time': '2019-03-25T19:00'}","{'tileId': 43382445, 'score': 49, 'time': '2019-03-25T19:00'}"
