0,1,2,3,4,5,6,7,8
"{'tileId': 43345193, 'score': 179, 'time': '2019-03-26T10:00'}","{'tileId': 43354504, 'score': 161, 'time': '2019-03-26T10:00'}","{'tileId': 43354505, 'score': 168, 'time': '2019-03-26T10:00'}","{'tileId': 43363816, 'score': 214, 'time': '2019-03-26T10:00'}","{'tileId': 43363817, 'score': 126, 'time': '2019-03-26T10:00'}","{'tileId': 43363818, 'score': 140, 'time': '2019-03-26T10:00'}","{'tileId': 43373130, 'score': 125, 'time': '2019-03-26T10:00'}","{'tileId': 43373131, 'score': 98, 'time': '2019-03-26T10:00'}","{'tileId': 43382445, 'score': 85, 'time': '2019-03-26T10:00'}"
"{'tileId': 43345193, 'score': 191, 'time': '2019-03-26T11:00'}","{'tileId': 43354504, 'score': 174, 'time': '2019-03-26T11:00'}","{'tileId': 43354505, 'score': 176, 'time': '2019-03-26T11:00'}","{'tileId': 43363816, 'score': 228, 'time': '2019-03-26T11:00'}","{'tileId': 43363817, 'score': 134, 'time': '2019-03-26T11:00'}","{'tileId': 43363818, 'score': 145, 'time': '2019-03-26T11:00'}","{'tileId': 43373130, 'score': 131, 'time': '2019-03-26T11:00'}","{'tileId': 43373131, 'score': 102, 'time': '2019-03-26T11:00'}","{'tileId': 43382445, 'score': 87, 'time': '2019-03-26T11:00'}"
"{'tileId': 43345193, 'score': 206, 'time': '2019-03-26T12:00'}","{'tileId': 43354504, 'score': 187, 'time': '2019-03-26T12:00'}","{'tileId': 43354505, 'score': 185, 'time': '2019-03-26T12:00'}","{'tileId': 43363816, 'score': 232, 'time': '2019-03-26T12:00'}","{'tileId': 43363817, 'score': 140, 'time': '2019-03-26T12:00'}","{'tileId': 43363818, 'score': 150, 'time': '2019-03-26T12:00'}","{'tileId': 43373130, 'score': 128, 'time': '2019-03-26T12:00'}","{'tileId': 43373131, 'score': 105, 'time': '2019-03-26T12:00'}","{'tileId': 43382445, 'score': 89, 'time': '2019-03-26T12:00'}"
"{'tileId': 43345193, 'score': 200, 'time': '2019-03-26T13:00'}","{'tileId': 43354504, 'score': 186, 'time': '2019-03-26T13:00'}","{'tileId': 43354505, 'score': 184, 'time': '2019-03-26T13:00'}","{'tileId': 43363816, 'score': 233, 'time': '2019-03-26T13:00'}","{'tileId': 43363817, 'score': 144, 'time': '2019-03-26T13:00'}","{'tileId': 43363818, 'score': 147, 'time': '2019-03-26T13:00'}","{'tileId': 43373130, 'score': 134, 'time': '2019-03-26T13:00'}","{'tileId': 43373131, 'score': 109, 'time': '2019-03-26T13:00'}","{'tileId': 43382445, 'score': 93, 'time': '2019-03-26T13:00'}"
"{'tileId': 43345193, 'score': 192, 'time': '2019-03-26T14:00'}","{'tileId': 43354504, 'score': 179, 'time': '2019-03-26T14:00'}","{'tileId': 43354505, 'score': 178, 'time': '2019-03-26T14:00'}","{'tileId': 43363816, 'score': 235, 'time': '2019-03-26T14:00'}","{'tileId': 43363817, 'score': 142, 'time': '2019-03-26T14:00'}","{'tileId': 43363818, 'score': 140, 'time': '2019-03-26T14:00'}","{'tileId': 43373130, 'score': 140, 'time': '2019-03-26T14:00'}","{'tileId': 43373131, 'score': 104, 'time': '2019-03-26T14:00'}","{'tileId': 43382445, 'score': 92, 'time': '2019-03-26T14:00'}"
"{'tileId': 43345193, 'score': 194, 'time': '2019-03-26T15:00'}","{'tileId': 43354504, 'score': 175, 'time': '2019-03-26T15:00'}","{'tileId': 43354505, 'score': 177, 'time': '2019-03-26T15:00'}","{'tileId': 43363816, 'score': 226, 'time': '2019-03-26T15:00'}","{'tileId': 43363817, 'score': 138, 'time': '2019-03-26T15:00'}","{'tileId': 43363818, 'score': 140, 'time': '2019-03-26T15:00'}","{'tileId': 43373130, 'score': 135, 'time': '2019-03-26T15:00'}","{'tileId': 43373131, 'score': 102, 'time': '2019-03-26T15:00'}","{'tileId': 43382445, 'score': 88, 'time': '2019-03-26T15:00'}"
"{'tileId': 43345193, 'score': 189, 'time': '2019-03-26T16:00'}","{'tileId': 43354504, 'score': 172, 'time': '2019-03-26T16:00'}","{'tileId': 43354505, 'score': 176, 'time': '2019-03-26T16:00'}","{'tileId': 43363816, 'score': 209, 'time': '2019-03-26T16:00'}","{'tileId': 43363817, 'score': 133, 'time': '2019-03-26T16:00'}","{'tileId': 43363818, 'score': 134, 'time': '2019-03-26T16:00'}","{'tileId': 43373130, 'score': 123, 'time': '2019-03-26T16:00'}","{'tileId': 43373131, 'score': 94, 'time': '2019-03-26T16:00'}","{'tileId': 43382445, 'score': 79, 'time': '2019-03-26T16:00'}"
"{'tileId': 43345193, 'score': 179, 'time': '2019-03-26T17:00'}","{'tileId': 43354504, 'score': 156, 'time': '2019-03-26T17:00'}","{'tileId': 43354505, 'score': 166, 'time': '2019-03-26T17:00'}","{'tileId': 43363816, 'score': 166, 'time': '2019-03-26T17:00'}","{'tileId': 43363817, 'score': 116, 'time': '2019-03-26T17:00'}","{'tileId': 43363818, 'score': 127, 'time': '2019-03-26T17:00'}","{'tileId': 43373130, 'score': 99, 'time': '2019-03-26T17:00'}","{'tileId': 43373131, 'score': 83, 'time': '2019-03-26T17:00'}","{'tileId': 43382445, 'score': 67, 'time': '2019-03-26T17:00'}"
"{'tileId': 43345193, 'score': 190, 'time': '2019-03-26T18:00'}","{'tileId': 43354504, 'score': 150, 'time': '2019-03-26T18:00'}","{'tileId': 43354505, 'score': 168, 'time': '2019-03-26T18:00'}","{'tileId': 43363816, 'score': 134, 'time': '2019-03-26T18:00'}","{'tileId': 43363817, 'score': 101, 'time': '2019-03-26T18:00'}","{'tileId': 43363818, 'score': 122, 'time': '2019-03-26T18:00'}","{'tileId': 43373130, 'score': 74, 'time': '2019-03-26T18:00'}","{'tileId': 43373131, 'score': 74, 'time': '2019-03-26T18:00'}","{'tileId': 43382445, 'score': 57, 'time': '2019-03-26T18:00'}"
"{'tileId': 43345193, 'score': 206, 'time': '2019-03-26T19:00'}","{'tileId': 43354504, 'score': 152, 'time': '2019-03-26T19:00'}","{'tileId': 43354505, 'score': 186, 'time': '2019-03-26T19:00'}","{'tileId': 43363816, 'score': 120, 'time': '2019-03-26T19:00'}","{'tileId': 43363817, 'score': 103, 'time': '2019-03-26T19:00'}","{'tileId': 43363818, 'score': 130, 'time': '2019-03-26T19:00'}","{'tileId': 43373130, 'score': 66, 'time': '2019-03-26T19:00'}","{'tileId': 43373131, 'score': 77, 'time': '2019-03-26T19:00'}","{'tileId': 43382445, 'score': 54, 'time': '2019-03-26T19:00'}"
"{'tileId': 43345193, 'score': 211, 'time': '2019-03-26T20:00'}","{'tileId': 43354504, 'score': 149, 'time': '2019-03-26T20:00'}","{'tileId': 43354505, 'score': 192, 'time': '2019-03-26T20:00'}","{'tileId': 43363816, 'score': 113, 'time': '2019-03-26T20:00'}","{'tileId': 43363817, 'score': 103, 'time': '2019-03-26T20:00'}","{'tileId': 43363818, 'score': 130, 'time': '2019-03-26T20:00'}","{'tileId': 43373130, 'score': 63, 'time': '2019-03-26T20:00'}","{'tileId': 43373131, 'score': 75, 'time': '2019-03-26T20:00'}","{'tileId': 43382445, 'score': 51, 'time': '2019-03-26T20:00'}"
"{'tileId': 43345193, 'score': 205, 'time': '2019-03-26T21:00'}","{'tileId': 43354504, 'score': 142, 'time': '2019-03-26T21:00'}","{'tileId': 43354505, 'score': 188, 'time': '2019-03-26T21:00'}","{'tileId': 43363816, 'score': 103, 'time': '2019-03-26T21:00'}","{'tileId': 43363817, 'score': 97, 'time': '2019-03-26T21:00'}","{'tileId': 43363818, 'score': 125, 'time': '2019-03-26T21:00'}","{'tileId': 43373130, 'score': 58, 'time': '2019-03-26T21:00'}","{'tileId': 43373131, 'score': 68, 'time': '2019-03-26T21:00'}","{'tileId': 43382445, 'score': 45, 'time': '2019-03-26T21:00'}"
"{'tileId': 43345193, 'score': 194, 'time': '2019-03-26T22:00'}","{'tileId': 43354504, 'score': 133, 'time': '2019-03-26T22:00'}","{'tileId': 43354505, 'score': 177, 'time': '2019-03-26T22:00'}","{'tileId': 43363816, 'score': 95, 'time': '2019-03-26T22:00'}","{'tileId': 43363817, 'score': 91, 'time': '2019-03-26T22:00'}","{'tileId': 43363818, 'score': 118, 'time': '2019-03-26T22:00'}","{'tileId': 43373130, 'score': 53, 'time': '2019-03-26T22:00'}","{'tileId': 43373131, 'score': 63, 'time': '2019-03-26T22:00'}","{'tileId': 43382445, 'score': 41, 'time': '2019-03-26T22:00'}"
"{'tileId': 43345193, 'score': 134, 'time': '2019-03-27T00:00'}","{'tileId': 43354504, 'score': 90, 'time': '2019-03-27T00:00'}","{'tileId': 43354505, 'score': 122, 'time': '2019-03-27T00:00'}","{'tileId': 43363816, 'score': 66, 'time': '2019-03-27T00:00'}","{'tileId': 43363817, 'score': 62, 'time': '2019-03-27T00:00'}","{'tileId': 43363818, 'score': 80, 'time': '2019-03-27T00:00'}","{'tileId': 43373130, 'score': 35, 'time': '2019-03-27T00:00'}","{'tileId': 43373131, 'score': 45, 'time': '2019-03-27T00:00'}","{'tileId': 43382445, 'score': 28, 'time': '2019-03-27T00:00'}"
"{'tileId': 43345193, 'score': 178, 'time': '2019-03-27T01:00'}","{'tileId': 43354504, 'score': 119, 'time': '2019-03-27T01:00'}","{'tileId': 43354505, 'score': 160, 'time': '2019-03-27T01:00'}","{'tileId': 43363816, 'score': 87, 'time': '2019-03-27T01:00'}","{'tileId': 43363817, 'score': 81, 'time': '2019-03-27T01:00'}","{'tileId': 43363818, 'score': 102, 'time': '2019-03-27T01:00'}","{'tileId': 43373130, 'score': 47, 'time': '2019-03-27T01:00'}","{'tileId': 43373131, 'score': 59, 'time': '2019-03-27T01:00'}","{'tileId': 43382445, 'score': 38, 'time': '2019-03-27T01:00'}"
"{'tileId': 43345193, 'score': 182, 'time': '2019-03-27T02:00'}","{'tileId': 43354504, 'score': 122, 'time': '2019-03-27T02:00'}","{'tileId': 43354505, 'score': 163, 'time': '2019-03-27T02:00'}","{'tileId': 43363816, 'score': 89, 'time': '2019-03-27T02:00'}","{'tileId': 43363817, 'score': 84, 'time': '2019-03-27T02:00'}","{'tileId': 43363818, 'score': 105, 'time': '2019-03-27T02:00'}","{'tileId': 43373130, 'score': 49, 'time': '2019-03-27T02:00'}","{'tileId': 43373131, 'score': 60, 'time': '2019-03-27T02:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-27T02:00'}"
"{'tileId': 43345193, 'score': 183, 'time': '2019-03-27T03:00'}","{'tileId': 43354504, 'score': 122, 'time': '2019-03-27T03:00'}","{'tileId': 43354505, 'score': 164, 'time': '2019-03-27T03:00'}","{'tileId': 43363816, 'score': 89, 'time': '2019-03-27T03:00'}","{'tileId': 43363817, 'score': 84, 'time': '2019-03-27T03:00'}","{'tileId': 43363818, 'score': 106, 'time': '2019-03-27T03:00'}","{'tileId': 43373130, 'score': 49, 'time': '2019-03-27T03:00'}","{'tileId': 43373131, 'score': 61, 'time': '2019-03-27T03:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-27T03:00'}"
"{'tileId': 43345193, 'score': 184, 'time': '2019-03-27T04:00'}","{'tileId': 43354504, 'score': 123, 'time': '2019-03-27T04:00'}","{'tileId': 43354505, 'score': 165, 'time': '2019-03-27T04:00'}","{'tileId': 43363816, 'score': 90, 'time': '2019-03-27T04:00'}","{'tileId': 43363817, 'score': 85, 'time': '2019-03-27T04:00'}","{'tileId': 43363818, 'score': 107, 'time': '2019-03-27T04:00'}","{'tileId': 43373130, 'score': 49, 'time': '2019-03-27T04:00'}","{'tileId': 43373131, 'score': 61, 'time': '2019-03-27T04:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-27T04:00'}"
"{'tileId': 43345193, 'score': 184, 'time': '2019-03-27T05:00'}","{'tileId': 43354504, 'score': 123, 'time': '2019-03-27T05:00'}","{'tileId': 43354505, 'score': 164, 'time': '2019-03-27T05:00'}","{'tileId': 43363816, 'score': 91, 'time': '2019-03-27T05:00'}","{'tileId': 43363817, 'score': 85, 'time': '2019-03-27T05:00'}","{'tileId': 43363818, 'score': 106, 'time': '2019-03-27T05:00'}","{'tileId': 43373130, 'score': 50, 'time': '2019-03-27T05:00'}","{'tileId': 43373131, 'score': 60, 'time': '2019-03-27T05:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-27T05:00'}"
"{'tileId': 43345193, 'score': 189, 'time': '2019-03-27T06:00'}","{'tileId': 43354504, 'score': 129, 'time': '2019-03-27T06:00'}","{'tileId': 43354505, 'score': 165, 'time': '2019-03-27T06:00'}","{'tileId': 43363816, 'score': 101, 'time': '2019-03-27T06:00'}","{'tileId': 43363817, 'score': 89, 'time': '2019-03-27T06:00'}","{'tileId': 43363818, 'score': 106, 'time': '2019-03-27T06:00'}","{'tileId': 43373130, 'score': 55, 'time': '2019-03-27T06:00'}","{'tileId': 43373131, 'score': 62, 'time': '2019-03-27T06:00'}","{'tileId': 43382445, 'score': 44, 'time': '2019-03-27T06:00'}"
"{'tileId': 43345193, 'score': 191, 'time': '2019-03-27T07:00'}","{'tileId': 43354504, 'score': 148, 'time': '2019-03-27T07:00'}","{'tileId': 43354505, 'score': 175, 'time': '2019-03-27T07:00'}","{'tileId': 43363816, 'score': 137, 'time': '2019-03-27T07:00'}","{'tileId': 43363817, 'score': 106, 'time': '2019-03-27T07:00'}","{'tileId': 43363818, 'score': 117, 'time': '2019-03-27T07:00'}","{'tileId': 43373130, 'score': 79, 'time': '2019-03-27T07:00'}","{'tileId': 43373131, 'score': 75, 'time': '2019-03-27T07:00'}","{'tileId': 43382445, 'score': 61, 'time': '2019-03-27T07:00'}"
"{'tileId': 43345193, 'score': 191, 'time': '2019-03-27T08:00'}","{'tileId': 43354504, 'score': 165, 'time': '2019-03-27T08:00'}","{'tileId': 43354505, 'score': 185, 'time': '2019-03-27T08:00'}","{'tileId': 43363816, 'score': 192, 'time': '2019-03-27T08:00'}","{'tileId': 43363817, 'score': 127, 'time': '2019-03-27T08:00'}","{'tileId': 43363818, 'score': 129, 'time': '2019-03-27T08:00'}","{'tileId': 43373130, 'score': 110, 'time': '2019-03-27T08:00'}","{'tileId': 43373131, 'score': 91, 'time': '2019-03-27T08:00'}","{'tileId': 43382445, 'score': 79, 'time': '2019-03-27T08:00'}"
"{'tileId': 43345193, 'score': 198, 'time': '2019-03-27T09:00'}","{'tileId': 43354504, 'score': 172, 'time': '2019-03-27T09:00'}","{'tileId': 43354505, 'score': 191, 'time': '2019-03-27T09:00'}","{'tileId': 43363816, 'score': 212, 'time': '2019-03-27T09:00'}","{'tileId': 43363817, 'score': 137, 'time': '2019-03-27T09:00'}","{'tileId': 43363818, 'score': 146, 'time': '2019-03-27T09:00'}","{'tileId': 43373130, 'score': 121, 'time': '2019-03-27T09:00'}","{'tileId': 43373131, 'score': 103, 'time': '2019-03-27T09:00'}","{'tileId': 43382445, 'score': 86, 'time': '2019-03-27T09:00'}"
"{'tileId': 43345193, 'score': 200, 'time': '2019-03-27T10:00'}","{'tileId': 43354504, 'score': 176, 'time': '2019-03-27T10:00'}","{'tileId': 43354505, 'score': 194, 'time': '2019-03-27T10:00'}","{'tileId': 43363816, 'score': 219, 'time': '2019-03-27T10:00'}","{'tileId': 43363817, 'score': 142, 'time': '2019-03-27T10:00'}","{'tileId': 43363818, 'score': 150, 'time': '2019-03-27T10:00'}","{'tileId': 43373130, 'score': 128, 'time': '2019-03-27T10:00'}","{'tileId': 43373131, 'score': 107, 'time': '2019-03-27T10:00'}","{'tileId': 43382445, 'score': 93, 'time': '2019-03-27T10:00'}"
"{'tileId': 43345193, 'score': 202, 'time': '2019-03-27T11:00'}","{'tileId': 43354504, 'score': 176, 'time': '2019-03-27T11:00'}","{'tileId': 43354505, 'score': 189, 'time': '2019-03-27T11:00'}","{'tileId': 43363816, 'score': 220, 'time': '2019-03-27T11:00'}","{'tileId': 43363817, 'score': 140, 'time': '2019-03-27T11:00'}","{'tileId': 43363818, 'score': 144, 'time': '2019-03-27T11:00'}","{'tileId': 43373130, 'score': 128, 'time': '2019-03-27T11:00'}","{'tileId': 43373131, 'score': 104, 'time': '2019-03-27T11:00'}","{'tileId': 43382445, 'score': 91, 'time': '2019-03-27T11:00'}"
"{'tileId': 43345193, 'score': 203, 'time': '2019-03-27T12:00'}","{'tileId': 43354504, 'score': 181, 'time': '2019-03-27T12:00'}","{'tileId': 43354505, 'score': 190, 'time': '2019-03-27T12:00'}","{'tileId': 43363816, 'score': 214, 'time': '2019-03-27T12:00'}","{'tileId': 43363817, 'score': 138, 'time': '2019-03-27T12:00'}","{'tileId': 43363818, 'score': 145, 'time': '2019-03-27T12:00'}","{'tileId': 43373130, 'score': 120, 'time': '2019-03-27T12:00'}","{'tileId': 43373131, 'score': 100, 'time': '2019-03-27T12:00'}","{'tileId': 43382445, 'score': 86, 'time': '2019-03-27T12:00'}"
"{'tileId': 43345193, 'score': 201, 'time': '2019-03-27T13:00'}","{'tileId': 43354504, 'score': 182, 'time': '2019-03-27T13:00'}","{'tileId': 43354505, 'score': 186, 'time': '2019-03-27T13:00'}","{'tileId': 43363816, 'score': 216, 'time': '2019-03-27T13:00'}","{'tileId': 43363817, 'score': 141, 'time': '2019-03-27T13:00'}","{'tileId': 43363818, 'score': 143, 'time': '2019-03-27T13:00'}","{'tileId': 43373130, 'score': 125, 'time': '2019-03-27T13:00'}","{'tileId': 43373131, 'score': 100, 'time': '2019-03-27T13:00'}","{'tileId': 43382445, 'score': 87, 'time': '2019-03-27T13:00'}"
"{'tileId': 43345193, 'score': 195, 'time': '2019-03-27T14:00'}","{'tileId': 43354504, 'score': 179, 'time': '2019-03-27T14:00'}","{'tileId': 43354505, 'score': 184, 'time': '2019-03-27T14:00'}","{'tileId': 43363816, 'score': 214, 'time': '2019-03-27T14:00'}","{'tileId': 43363817, 'score': 140, 'time': '2019-03-27T14:00'}","{'tileId': 43363818, 'score': 140, 'time': '2019-03-27T14:00'}","{'tileId': 43373130, 'score': 125, 'time': '2019-03-27T14:00'}","{'tileId': 43373131, 'score': 101, 'time': '2019-03-27T14:00'}","{'tileId': 43382445, 'score': 90, 'time': '2019-03-27T14:00'}"
"{'tileId': 43345193, 'score': 194, 'time': '2019-03-27T15:00'}","{'tileId': 43354504, 'score': 175, 'time': '2019-03-27T15:00'}","{'tileId': 43354505, 'score': 184, 'time': '2019-03-27T15:00'}","{'tileId': 43363816, 'score': 212, 'time': '2019-03-27T15:00'}","{'tileId': 43363817, 'score': 139, 'time': '2019-03-27T15:00'}","{'tileId': 43363818, 'score': 140, 'time': '2019-03-27T15:00'}","{'tileId': 43373130, 'score': 128, 'time': '2019-03-27T15:00'}","{'tileId': 43373131, 'score': 101, 'time': '2019-03-27T15:00'}","{'tileId': 43382445, 'score': 93, 'time': '2019-03-27T15:00'}"
"{'tileId': 43345193, 'score': 192, 'time': '2019-03-27T16:00'}","{'tileId': 43354504, 'score': 171, 'time': '2019-03-27T16:00'}","{'tileId': 43354505, 'score': 181, 'time': '2019-03-27T16:00'}","{'tileId': 43363816, 'score': 199, 'time': '2019-03-27T16:00'}","{'tileId': 43363817, 'score': 132, 'time': '2019-03-27T16:00'}","{'tileId': 43363818, 'score': 134, 'time': '2019-03-27T16:00'}","{'tileId': 43373130, 'score': 118, 'time': '2019-03-27T16:00'}","{'tileId': 43373131, 'score': 92, 'time': '2019-03-27T16:00'}","{'tileId': 43382445, 'score': 83, 'time': '2019-03-27T16:00'}"
"{'tileId': 43345193, 'score': 200, 'time': '2019-03-27T17:00'}","{'tileId': 43354504, 'score': 170, 'time': '2019-03-27T17:00'}","{'tileId': 43354505, 'score': 190, 'time': '2019-03-27T17:00'}","{'tileId': 43363816, 'score': 164, 'time': '2019-03-27T17:00'}","{'tileId': 43363817, 'score': 130, 'time': '2019-03-27T17:00'}","{'tileId': 43363818, 'score': 136, 'time': '2019-03-27T17:00'}","{'tileId': 43373130, 'score': 107, 'time': '2019-03-27T17:00'}","{'tileId': 43373131, 'score': 88, 'time': '2019-03-27T17:00'}","{'tileId': 43382445, 'score': 76, 'time': '2019-03-27T17:00'}"
"{'tileId': 43345193, 'score': 205, 'time': '2019-03-27T18:00'}","{'tileId': 43354504, 'score': 163, 'time': '2019-03-27T18:00'}","{'tileId': 43354505, 'score': 176, 'time': '2019-03-27T18:00'}","{'tileId': 43363816, 'score': 145, 'time': '2019-03-27T18:00'}","{'tileId': 43363817, 'score': 116, 'time': '2019-03-27T18:00'}","{'tileId': 43363818, 'score': 116, 'time': '2019-03-27T18:00'}","{'tileId': 43373130, 'score': 89, 'time': '2019-03-27T18:00'}","{'tileId': 43373131, 'score': 76, 'time': '2019-03-27T18:00'}","{'tileId': 43382445, 'score': 66, 'time': '2019-03-27T18:00'}"
"{'tileId': 43345193, 'score': 226, 'time': '2019-03-27T19:00'}","{'tileId': 43354504, 'score': 163, 'time': '2019-03-27T19:00'}","{'tileId': 43354505, 'score': 194, 'time': '2019-03-27T19:00'}","{'tileId': 43363816, 'score': 128, 'time': '2019-03-27T19:00'}","{'tileId': 43363817, 'score': 114, 'time': '2019-03-27T19:00'}","{'tileId': 43363818, 'score': 129, 'time': '2019-03-27T19:00'}","{'tileId': 43373130, 'score': 79, 'time': '2019-03-27T19:00'}","{'tileId': 43373131, 'score': 79, 'time': '2019-03-27T19:00'}","{'tileId': 43382445, 'score': 62, 'time': '2019-03-27T19:00'}"
"{'tileId': 43345193, 'score': 230, 'time': '2019-03-27T20:00'}","{'tileId': 43354504, 'score': 160, 'time': '2019-03-27T20:00'}","{'tileId': 43354505, 'score': 201, 'time': '2019-03-27T20:00'}","{'tileId': 43363816, 'score': 120, 'time': '2019-03-27T20:00'}","{'tileId': 43363817, 'score': 113, 'time': '2019-03-27T20:00'}","{'tileId': 43363818, 'score': 135, 'time': '2019-03-27T20:00'}","{'tileId': 43373130, 'score': 74, 'time': '2019-03-27T20:00'}","{'tileId': 43373131, 'score': 80, 'time': '2019-03-27T20:00'}","{'tileId': 43382445, 'score': 61, 'time': '2019-03-27T20:00'}"
"{'tileId': 43345193, 'score': 217, 'time': '2019-03-27T21:00'}","{'tileId': 43354504, 'score': 152, 'time': '2019-03-27T21:00'}","{'tileId': 43354505, 'score': 196, 'time': '2019-03-27T21:00'}","{'tileId': 43363816, 'score': 112, 'time': '2019-03-27T21:00'}","{'tileId': 43363817, 'score': 108, 'time': '2019-03-27T21:00'}","{'tileId': 43363818, 'score': 132, 'time': '2019-03-27T21:00'}","{'tileId': 43373130, 'score': 68, 'time': '2019-03-27T21:00'}","{'tileId': 43373131, 'score': 76, 'time': '2019-03-27T21:00'}","{'tileId': 43382445, 'score': 55, 'time': '2019-03-27T21:00'}"
"{'tileId': 43345193, 'score': 200, 'time': '2019-03-27T22:00'}","{'tileId': 43354504, 'score': 139, 'time': '2019-03-27T22:00'}","{'tileId': 43354505, 'score': 181, 'time': '2019-03-27T22:00'}","{'tileId': 43363816, 'score': 97, 'time': '2019-03-27T22:00'}","{'tileId': 43363817, 'score': 97, 'time': '2019-03-27T22:00'}","{'tileId': 43363818, 'score': 119, 'time': '2019-03-27T22:00'}","{'tileId': 43373130, 'score': 59, 'time': '2019-03-27T22:00'}","{'tileId': 43373131, 'score': 68, 'time': '2019-03-27T22:00'}","{'tileId': 43382445, 'score': 49, 'time': '2019-03-27T22:00'}"
"{'tileId': 43345193, 'score': 132, 'time': '2019-03-28T00:00'}","{'tileId': 43354504, 'score': 92, 'time': '2019-03-28T00:00'}","{'tileId': 43354505, 'score': 118, 'time': '2019-03-28T00:00'}","{'tileId': 43363816, 'score': 65, 'time': '2019-03-28T00:00'}","{'tileId': 43363817, 'score': 60, 'time': '2019-03-28T00:00'}","{'tileId': 43363818, 'score': 77, 'time': '2019-03-28T00:00'}","{'tileId': 43373130, 'score': 35, 'time': '2019-03-28T00:00'}","{'tileId': 43373131, 'score': 41, 'time': '2019-03-28T00:00'}","{'tileId': 43382445, 'score': 29, 'time': '2019-03-28T00:00'}"
"{'tileId': 43345193, 'score': 172, 'time': '2019-03-28T01:00'}","{'tileId': 43354504, 'score': 122, 'time': '2019-03-28T01:00'}","{'tileId': 43354505, 'score': 155, 'time': '2019-03-28T01:00'}","{'tileId': 43363816, 'score': 87, 'time': '2019-03-28T01:00'}","{'tileId': 43363817, 'score': 80, 'time': '2019-03-28T01:00'}","{'tileId': 43363818, 'score': 100, 'time': '2019-03-28T01:00'}","{'tileId': 43373130, 'score': 47, 'time': '2019-03-28T01:00'}","{'tileId': 43373131, 'score': 55, 'time': '2019-03-28T01:00'}","{'tileId': 43382445, 'score': 38, 'time': '2019-03-28T01:00'}"
"{'tileId': 43345193, 'score': 179, 'time': '2019-03-28T02:00'}","{'tileId': 43354504, 'score': 127, 'time': '2019-03-28T02:00'}","{'tileId': 43354505, 'score': 160, 'time': '2019-03-28T02:00'}","{'tileId': 43363816, 'score': 90, 'time': '2019-03-28T02:00'}","{'tileId': 43363817, 'score': 84, 'time': '2019-03-28T02:00'}","{'tileId': 43363818, 'score': 104, 'time': '2019-03-28T02:00'}","{'tileId': 43373130, 'score': 49, 'time': '2019-03-28T02:00'}","{'tileId': 43373131, 'score': 58, 'time': '2019-03-28T02:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-28T02:00'}"
"{'tileId': 43345193, 'score': 179, 'time': '2019-03-28T03:00'}","{'tileId': 43354504, 'score': 127, 'time': '2019-03-28T03:00'}","{'tileId': 43354505, 'score': 162, 'time': '2019-03-28T03:00'}","{'tileId': 43363816, 'score': 90, 'time': '2019-03-28T03:00'}","{'tileId': 43363817, 'score': 84, 'time': '2019-03-28T03:00'}","{'tileId': 43363818, 'score': 105, 'time': '2019-03-28T03:00'}","{'tileId': 43373130, 'score': 50, 'time': '2019-03-28T03:00'}","{'tileId': 43373131, 'score': 59, 'time': '2019-03-28T03:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-28T03:00'}"
"{'tileId': 43345193, 'score': 179, 'time': '2019-03-28T04:00'}","{'tileId': 43354504, 'score': 127, 'time': '2019-03-28T04:00'}","{'tileId': 43354505, 'score': 162, 'time': '2019-03-28T04:00'}","{'tileId': 43363816, 'score': 90, 'time': '2019-03-28T04:00'}","{'tileId': 43363817, 'score': 84, 'time': '2019-03-28T04:00'}","{'tileId': 43363818, 'score': 105, 'time': '2019-03-28T04:00'}","{'tileId': 43373130, 'score': 50, 'time': '2019-03-28T04:00'}","{'tileId': 43373131, 'score': 58, 'time': '2019-03-28T04:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-28T04:00'}"
"{'tileId': 43345193, 'score': 179, 'time': '2019-03-28T05:00'}","{'tileId': 43354504, 'score': 127, 'time': '2019-03-28T05:00'}","{'tileId': 43354505, 'score': 161, 'time': '2019-03-28T05:00'}","{'tileId': 43363816, 'score': 90, 'time': '2019-03-28T05:00'}","{'tileId': 43363817, 'score': 84, 'time': '2019-03-28T05:00'}","{'tileId': 43363818, 'score': 104, 'time': '2019-03-28T05:00'}","{'tileId': 43373130, 'score': 50, 'time': '2019-03-28T05:00'}","{'tileId': 43373131, 'score': 57, 'time': '2019-03-28T05:00'}","{'tileId': 43382445, 'score': 40, 'time': '2019-03-28T05:00'}"
