tileId,score,time
43363817,87,2020-03-23T20:00
43363817,86,2020-03-23T21:00
43363817,80,2020-03-23T22:00
43363817,55,2020-03-23T23:00
43363817,51,2020-03-24T00:00
43363817,70,2020-03-24T01:00
43363817,72,2020-03-24T02:00
43363817,73,2020-03-24T03:00
43363817,73,2020-03-24T04:00
43363817,74,2020-03-24T05:00
43363817,77,2020-03-24T06:00
43363817,83,2020-03-24T07:00
43363817,90,2020-03-24T08:00
43363817,92,2020-03-24T09:00
43363817,94,2020-03-24T10:00
43363817,96,2020-03-24T11:00
43363817,98,2020-03-24T12:00
43363817,98,2020-03-24T13:00
43363817,96,2020-03-24T14:00
43363817,94,2020-03-24T15:00
43363817,91,2020-03-24T16:00
43363817,91,2020-03-24T17:00
43363817,89,2020-03-24T18:00
43363817,86,2020-03-24T19:00
43363817,85,2020-03-24T20:00
43363817,84,2020-03-24T21:00
43363817,78,2020-03-24T22:00
43363817,55,2020-03-24T23:00
43363817,52,2020-03-25T00:00
43363817,72,2020-03-25T01:00
43363817,75,2020-03-25T02:00
43363817,76,2020-03-25T03:00
43363817,76,2020-03-25T04:00
43363817,77,2020-03-25T05:00
43363817,80,2020-03-25T06:00
43363817,85,2020-03-25T07:00
43363817,93,2020-03-25T08:00
43363817,96,2020-03-25T09:00
43363817,99,2020-03-25T10:00
43363817,101,2020-03-25T11:00
43363817,100,2020-03-25T12:00
43363817,103,2020-03-25T13:00
43363817,104,2020-03-25T14:00
43363817,103,2020-03-25T15:00
43363817,97,2020-03-25T16:00
43363817,96,2020-03-25T17:00
43363817,97,2020-03-25T18:00
43363817,97,2020-03-25T19:00
43363817,98,2020-03-25T20:00
43363817,98,2020-03-25T21:00
43363817,92,2020-03-25T22:00
43363817,66,2020-03-25T23:00
43363817,49,2020-03-26T00:00
43363817,68,2020-03-26T01:00
43363817,71,2020-03-26T02:00
43363817,73,2020-03-26T03:00
43363817,73,2020-03-26T04:00
43363817,73,2020-03-26T05:00
43363817,75,2020-03-26T06:00
43363817,82,2020-03-26T07:00
43363817,88,2020-03-26T08:00
43363817,91,2020-03-26T09:00
43363817,93,2020-03-26T10:00
43363817,96,2020-03-26T11:00
43363817,96,2020-03-26T12:00
43363817,96,2020-03-26T13:00
43363817,94,2020-03-26T14:00
43363817,89,2020-03-26T15:00
43363817,91,2020-03-26T16:00
43363817,90,2020-03-26T17:00
43363817,90,2020-03-26T18:00
43363817,86,2020-03-26T19:00
43363817,87,2020-03-26T20:00
43363817,85,2020-03-26T21:00
43363817,80,2020-03-26T22:00
43363817,56,2020-03-26T23:00
43363817,53,2020-03-27T00:00
43363817,71,2020-03-27T01:00
43363817,72,2020-03-27T02:00
43363817,72,2020-03-27T03:00
43363817,71,2020-03-27T04:00
43363817,72,2020-03-27T05:00
43363817,75,2020-03-27T06:00
43363817,84,2020-03-27T07:00
43363817,89,2020-03-27T08:00
43363817,92,2020-03-27T09:00
43363817,95,2020-03-27T10:00
43363817,98,2020-03-27T11:00
43363817,96,2020-03-27T12:00
43363817,94,2020-03-27T13:00
43363817,93,2020-03-27T14:00
43363817,92,2020-03-27T15:00
43363817,92,2020-03-27T16:00
43363817,88,2020-03-27T17:00
43363817,87,2020-03-27T18:00
43363817,86,2020-03-27T19:00
43363817,84,2020-03-27T20:00
43363817,83,2020-03-27T21:00
43363817,78,2020-03-27T22:00
43363817,54,2020-03-27T23:00
43363817,51,2020-03-28T00:00
43363817,68,2020-03-28T01:00
43363817,70,2020-03-28T02:00
43363817,70,2020-03-28T03:00
43363817,70,2020-03-28T04:00
43363817,72,2020-03-28T05:00
43363817,74,2020-03-28T06:00
43363817,77,2020-03-28T07:00
43363817,80,2020-03-28T08:00
43363817,82,2020-03-28T09:00
43363817,82,2020-03-28T10:00
43363817,81,2020-03-28T11:00
43363817,82,2020-03-28T12:00
43363817,79,2020-03-28T13:00
43363817,76,2020-03-28T14:00
43363817,79,2020-03-28T15:00
43363817,76,2020-03-28T16:00
43363817,77,2020-03-28T17:00
43363817,79,2020-03-28T18:00
43363817,77,2020-03-28T19:00
43363817,78,2020-03-28T20:00
43363817,79,2020-03-28T21:00
43363817,75,2020-03-28T22:00
43363817,55,2020-03-28T23:00
43363817,55,2020-03-29T00:00
43363817,74,2020-03-29T01:00
43363817,77,2020-03-29T02:00
43363817,77,2020-03-29T03:00
43363817,77,2020-03-29T04:00
43363817,77,2020-03-29T05:00
43363817,77,2020-03-29T06:00
43363817,78,2020-03-29T07:00
43363817,79,2020-03-29T08:00
43363817,81,2020-03-29T09:00
43363817,82,2020-03-29T10:00
43363817,82,2020-03-29T11:00
43363817,84,2020-03-29T12:00
43363817,85,2020-03-29T13:00
43363817,86,2020-03-29T14:00
43363817,87,2020-03-29T15:00
43363817,88,2020-03-29T16:00
43363817,90,2020-03-29T17:00
43363817,92,2020-03-29T18:00
43363817,91,2020-03-29T19:00
43363817,92,2020-03-29T20:00
43363817,91,2020-03-29T21:00
43363817,86,2020-03-29T22:00
43363817,61,2020-03-29T23:00
